AGE,TENURE_1,TENURE_2,TENURE_3,TENURE_4,TENURE_5,TENURE_6,TENURE_7
18,            4.70 ,            4.70 ,            6.69 ,            7.94 ,            9.21 ,          10.51 ,          11.82 
19,            4.82 ,            4.82 ,            6.90 ,            8.18 ,            9.47 ,          10.78 ,          12.11 
20,            4.93 ,            4.93 ,            7.07 ,            8.36 ,            9.67 ,          11.00 ,          12.34 
21,            5.03 ,            5.03 ,            7.19 ,            8.50 ,            9.83 ,          11.17 ,          12.52 
22,            5.11 ,            5.11 ,            7.29 ,            8.59 ,            9.93 ,          11.28 ,          12.65 
23,            5.40 ,            5.40 ,            7.36 ,            8.67 ,          10.03 ,          11.39 ,          12.77 
24,            5.89 ,            5.89 ,            7.43 ,            8.76 ,          10.13 ,          11.51 ,          12.90 
25,            6.17 ,            6.17 ,            7.48 ,            8.85 ,          10.23 ,          11.62 ,          13.03 
26,            6.20 ,            6.20 ,            7.55 ,            8.94 ,          10.33 ,          11.74 ,          13.21 
27,            6.23 ,            6.23 ,            7.63 ,            9.03 ,          10.43 ,          11.92 ,          13.42 
28,            6.24 ,            6.24 ,            7.70 ,            9.15 ,          10.62 ,          12.13 ,          13.68 
29,            6.24 ,            6.24 ,            7.86 ,            9.33 ,          10.84 ,          12.40 ,          14.01 
30,            6.27 ,            6.27 ,            8.02 ,            9.54 ,          11.11 ,          12.74 ,          14.42 
31,            6.35 ,            6.35 ,            8.24 ,            9.81 ,          11.45 ,          13.15 ,          14.92 
32,            6.50 ,            6.50 ,            8.50 ,          10.14 ,          11.86 ,          13.64 ,          15.51 
33,            6.69 ,            6.69 ,            8.81 ,          10.54 ,          12.35 ,          14.24 ,          16.22 
34,            6.94 ,            6.94 ,            9.18 ,          11.01 ,          12.92 ,          14.93 ,          17.04 
35,            7.24 ,            7.24 ,            9.62 ,          11.56 ,          13.59 ,          15.74 ,          18.00 
36,            7.59 ,            7.59 ,          10.13 ,          12.19 ,          14.37 ,          16.67 ,          19.17 
37,            8.00 ,            8.00 ,          10.72 ,          12.93 ,          15.31 ,          17.81 ,          20.46 
38,            8.48 ,            8.48 ,          11.44 ,          13.82 ,          16.36 ,          19.07 ,          21.96 
39,            9.02 ,            9.02 ,          12.23 ,          14.81 ,          17.57 ,          20.52 ,          23.68 
40,            9.55 ,            9.55 ,          13.14 ,          15.95 ,          18.96 ,          22.20 ,          25.68 
41,          10.03 ,          10.03 ,          14.19 ,          17.26 ,          20.57 ,          24.14 ,          27.97 
42,          10.56 ,          10.56 ,          15.41 ,          18.79 ,          22.44 ,          26.37 ,          30.62 
43,          11.20 ,          11.20 ,          16.82 ,          20.55 ,          24.58 ,          28.94 ,          33.64 
44,          11.99 ,          11.99 ,          18.45 ,          22.57 ,          27.04 ,          31.87 ,          37.07 
45,          12.94 ,          12.94 ,          20.31 ,          24.88 ,          29.83 ,          35.17 ,          40.92 
46,          14.05 ,          14.05 ,          22.43 ,          27.49 ,          32.96 ,          38.86 ,          45.18 
47,          15.31 ,          15.31 ,          24.79 ,          30.39 ,          36.43 ,          42.91 ,          49.85 
48,          16.73 ,          16.73 ,          27.39 ,          33.56 ,          40.20 ,          47.30 ,          54.87 
49,          18.33 ,          18.33 ,          30.20 ,          36.98 ,          44.24 ,          51.98 ,          60.21 
50,          20.13 ,          20.13 ,          33.20 ,          40.60 ,          48.51 ,          56.92 ,          65.82 
51,          22.10 ,          22.10 ,          36.36 ,          44.41 ,          52.98 ,          62.07 ,          71.67 
52,          24.23 ,          24.23 ,          39.64 ,          48.36 ,          57.62 ,          67.42 ,          77.75 
53,          26.51 ,          26.51 ,          43.04 ,          52.45 ,          62.43 ,          72.96 ,          84.05 
54,          28.95 ,          28.95 ,          46.55 ,          56.69 ,          67.41 ,          78.72 ,          90.62 
55,          31.54 ,          31.54 ,          50.20 ,          61.09 ,          72.60 ,          84.74 ,          97.51 
56,          34.12 ,          34.12 ,          54.01 ,          65.70 ,          78.06 ,          91.08 ,       104.79 
57,          36.69 ,          36.69 ,          58.04 ,          70.59 ,          83.86 ,          97.85 ,       112.58 
58,          39.60 ,          39.60 ,          62.34 ,          75.83 ,          90.09 ,       105.13 ,       120.97 
59,          43.13 ,          43.13 ,          66.98 ,          81.49 ,          96.83 ,       113.02 ,       130.08 
60,          47.27 ,          47.27 ,          72.03 ,          87.66 ,       104.19 ,       121.64 ,       140.03 
61,          52.02 ,          52.02 ,          77.56 ,          94.42 ,       112.25 ,       131.08 ,       150.92 
62,          57.38 ,          57.38 ,          83.64 ,       101.84 ,       121.11 ,       141.44 ,       162.86 
63,          63.35 ,          63.35 ,          90.34 ,       110.02 ,       130.84 ,       152.81 ,       175.94 
64,          69.02 ,          69.02 ,          97.71 ,       119.00 ,       141.52 ,       165.27 ,       190.25 
