APPLICATION_NUMBER,APPLICATION_DATE,CUSTOMER_TYPE,CALCULATION_TYPE,CUSTOMER_DOB,CUSTOMER_AGE,CO_APPLICANT_DOB,CO_APPLICANT_AGE,FINANCE_AMOUNT,TENURE_IN_MONTH,TENURE_IN_YEAR,PARTIAL_FINANCE_AMOUNT,PARTIAL_TENURE,PREMIUM,CREATED_ON
25156783317,2025-06-03,CUSTOMER,FULL,1999-12-10,25,1953-01-01,72,130000,36,3,0,0,1148,"2025-06-04 11:43:13"
25156767872,2025-06-03,CUSTOMER,FULL,1996-01-16,29,1994-08-30,30,812000,61,6,0,0,10569,"2025-06-04 11:42:57"
25155634055,2025-04-25,CUSTOMER,FULL,1993-03-20,32,1991-10-10,33,1404000,35,3,0,0,14083,"2025-06-04 11:42:29"
7809046527,2025-05-29,CUSTOMER,FULL,1980-03-28,45,NULL,-1,218000,36,3,0,0,4579,"2025-06-04 11:42:24"
25156229081,2025-05-16,CUSTOMER,FULL,1995-08-02,29,1996-09-02,28,520000,60,5,0,0,5897,"2025-06-04 11:42:20"
7808922214,2025-05-30,CUSTOMER,FULL,1988-07-15,36,1995-04-08,30,300000,48,4,0,0,3891,"2025-06-04 11:42:11"
7808942672,2025-05-30,CUSTOMER,FULL,1999-01-01,26,1978-01-01,47,325000,42,4,0,0,3245,"2025-06-04 11:42:08"
25156810858,2025-06-03,CUSTOMER,FULL,1979-03-11,46,1985-07-06,39,410000,60,5,0,0,13939,"2025-06-04 11:41:52"
25156429379,2025-05-24,CUSTOMER,FULL,2002-08-18,22,1975-11-09,49,750000,60,5,0,0,8098,"2025-06-04 11:41:32"
25156793963,2025-06-03,CUSTOMER,FULL,1973-01-01,52,2000-09-09,24,350000,60,5,0,0,23798,"2025-06-04 11:41:16"
25156767237,2025-06-02,CUSTOMER,FULL,1998-07-14,26,1969-07-19,55,535000,60,5,0,0,5802,"2025-06-04 11:41:11"
25157275627,2025-06-04,CUSTOMER,FULL,1997-03-30,28,NULL,0,250000,36,3,0,0,1998,"2025-06-04 11:40:52"
25157294730,2025-06-04,CUSTOMER,FULL,2004-01-01,21,1968-01-01,57,760000,60,5,0,0,8206,"2025-06-04 11:40:37"
25157294856,2025-06-04,CUSTOMER,FULL,1983-07-08,41,NULL,0,600000,60,5,0,0,13325,"2025-06-04 11:40:37"
25157293465,2025-06-04,CUSTOMER,FULL,1991-11-29,33,1995-01-01,30,515000,55,5,0,0,6728,"2025-06-04 11:40:28"
7809033053,2025-06-04,CUSTOMER,FULL,1992-10-24,32,NULL,0,600000,48,4,0,0,7180,"2025-06-04 11:40:17"
25157295053,2025-06-04,CUSTOMER,FULL,2002-09-28,22,NULL,0,183500,36,3,0,0,1579,"2025-06-04 11:39:53"
7808495224,2025-06-02,CUSTOMER,FULL,1981-01-02,44,NULL,-1,493000,42,4,0,0,13130,"2025-06-04 11:39:45"
25156452277,2025-05-27,CUSTOMER,FULL,2000-01-01,25,NULL,-1,313000,48,4,0,0,2974,"2025-06-04 11:39:39"
25156783200,2025-06-03,CUSTOMER,FULL,1992-01-19,33,1995-08-19,29,1100000,60,5,0,0,14369,"2025-06-04 11:39:39"
8800017689,2025-06-02,CUSTOMER,FULL,1986-04-21,39,NULL,-1,580000,48,4,0,0,10136,"2025-06-04 11:39:31"
25156757105,2025-05-31,CUSTOMER,FULL,1981-01-01,44,NULL,-1,500000,59,5,0,0,13960,"2025-06-04 11:39:29"
7808746531,2025-06-04,CUSTOMER,FULL,1992-01-01,33,1992-01-01,33,5300000,59,5,0,0,77237,"2025-06-04 11:39:27"
25157294188,2025-06-04,CUSTOMER,FULL,1999-10-23,25,NULL,0,749000,60,5,0,0,8114,"2025-06-04 11:39:19"
7808805251,2025-06-04,CUSTOMER,FULL,2004-03-23,21,1975-05-15,50,160000,23,2,0,0,949,"2025-06-04 11:39:12"
25156754333,2025-05-31,CUSTOMER,FULL,1987-08-06,37,NULL,-1,500000,60,5,0,0,8137,"2025-06-04 11:39:00"
7808824451,2025-06-03,CUSTOMER,FULL,2001-01-11,24,NULL,-1,360000,60,5,0,0,3887,"2025-06-04 11:38:54"
7808476142,2025-06-04,CUSTOMER,FULL,1984-01-01,41,NULL,0,200000,24,2,0,0,2369,"2025-06-04 11:38:52"
25157294393,2025-06-04,CUSTOMER,FULL,2000-07-28,24,1975-01-01,50,750000,60,5,0,0,8098,"2025-06-04 11:38:48"
25156773177,2025-06-02,CUSTOMER,FULL,1986-07-21,38,NULL,-1,110000,18,2,0,0,1101,"2025-06-04 11:38:29"
8800022763,2025-06-03,CUSTOMER,FULL,1987-06-06,37,NULL,-1,250000,48,4,0,0,3815,"2025-06-04 11:38:18"
25156081462,2025-05-10,CUSTOMER,FULL,1995-08-12,29,2003-10-03,21,2830500,48,4,0,0,31163,"2025-06-04 11:38:03"
25156783668,2025-06-03,CUSTOMER,FULL,1994-01-01,31,NULL,-1,842000,60,5,0,0,10314,"2025-06-04 11:37:56"
7808904051,2025-05-31,CUSTOMER,FULL,1995-12-03,29,NULL,-1,150000,60,5,0,0,1769,"2025-06-04 11:37:44"
25157029170,2025-06-03,CUSTOMER,FULL,1973-10-23,51,NULL,-1,450000,48,4,0,0,22749,"2025-06-04 11:37:32"
25157105088,2025-06-03,CUSTOMER,FULL,1993-05-11,32,1991-11-26,33,550000,60,5,0,0,7698,"2025-06-04 11:37:25"
7808827082,2025-06-04,CUSTOMER,FULL,2002-01-01,23,1966-08-20,58,170000,28,3,0,0,1477,"2025-06-04 11:37:18"
25156587659,2025-05-28,CUSTOMER,FULL,1973-09-02,51,1980-01-01,45,1589000,60,5,0,0,95908,"2025-06-04 11:37:15"
7808814097,2025-05-30,CUSTOMER,FULL,1998-11-08,26,1999-10-20,25,300000,45,4,0,0,3165,"2025-06-04 11:37:05"
25157295397,2025-06-04,CUSTOMER,FULL,1980-03-05,45,NULL,0,350000,36,3,0,0,7352,"2025-06-04 11:36:53"
25156782351,2025-06-03,CUSTOMER,FULL,2004-04-02,21,1981-01-01,44,765000,60,5,0,0,7998,"2025-06-04 11:36:36"
25157294036,2025-06-04,CUSTOMER,FULL,1995-03-10,30,NULL,0,300000,18,2,0,0,2219,"2025-06-04 11:36:32"
25157294907,2025-06-04,CUSTOMER,FULL,2001-03-03,24,1970-09-07,54,715000,60,5,0,0,7720,"2025-06-04 11:36:31"
7808931642,2025-06-03,CUSTOMER,FULL,1991-05-10,34,NULL,-1,306100,24,2,0,0,2319,"2025-06-04 11:36:24"
25156767345,2025-06-02,CUSTOMER,FULL,1981-07-15,43,NULL,-1,289000,42,4,0,0,6313,"2025-06-04 11:35:56"
7809052577,2025-06-03,CUSTOMER,FULL,2003-08-30,21,1993-08-03,31,911000,48,4,0,0,8353,"2025-06-04 11:35:52"
25156328496,2025-05-20,CUSTOMER,FULL,1996-10-01,28,1994-08-12,30,760000,36,3,0,0,6628,"2025-06-04 11:35:47"
7808604255,2025-06-03,CUSTOMER,FULL,2002-08-01,22,1980-01-01,45,400000,30,3,0,0,3441,"2025-06-04 11:34:53"
25156572480,2025-05-28,CUSTOMER,"PARTIAL TENURE",1977-05-02,48,NULL,-1,300000,60,5,0,2,6596,"2025-06-04 11:34:34"
25157292330,2025-06-03,CUSTOMER,FULL,1987-01-01,38,NULL,-1,387000,60,5,0,0,6723,"2025-06-04 11:34:27"
25157295327,2025-06-04,CUSTOMER,FULL,1992-10-28,32,1984-03-19,41,60000,24,2,0,0,419,"2025-06-04 11:34:15"
25156756010,2025-05-31,CUSTOMER,FULL,1993-01-01,32,NULL,-1,550000,48,4,0,0,5861,"2025-06-04 11:34:01"
7808704811,2025-05-15,CUSTOMER,FULL,1980-10-10,44,NULL,-1,920000,60,5,0,0,25686,"2025-06-04 11:33:48"
25157291767,2025-06-03,CUSTOMER,FULL,2003-10-17,21,1980-05-09,45,406000,48,4,0,0,4073,"2025-06-04 11:33:28"
25156980565,2025-06-03,CUSTOMER,FULL,1970-05-19,55,1975-05-24,50,996000,84,7,0,0,99241,"2025-06-04 11:33:25"
7808994487,2025-05-29,CUSTOMER,FULL,1985-03-01,40,NULL,-1,337000,54,5,0,0,6964,"2025-06-04 11:33:24"
25157015225,2025-06-03,CUSTOMER,FULL,1971-01-01,54,NULL,-1,320000,48,4,0,0,21407,"2025-06-04 11:33:17"
25156739743,2025-05-30,CUSTOMER,FULL,1998-01-01,27,NULL,-1,300000,36,3,0,0,2369,"2025-06-04 11:33:04"
25156749157,2025-05-30,CUSTOMER,FULL,1992-01-01,33,NULL,-1,935000,36,3,0,0,8628,"2025-06-04 11:33:01"
7808990769,2025-06-03,CUSTOMER,FULL,1988-08-19,36,1986-04-11,39,480000,60,5,0,0,8140,"2025-06-04 11:32:46"
25157003214,2025-06-03,CUSTOMER,FULL,1999-04-01,26,NULL,-1,820000,84,7,0,0,13073,"2025-06-04 11:32:24"
25156676068,2025-05-29,CUSTOMER,FULL,1990-10-12,34,NULL,-1,330000,42,4,0,0,3840,"2025-06-04 11:32:21"
25157294067,2025-06-04,CUSTOMER,FULL,1999-07-24,25,1997-07-22,27,269000,36,3,0,0,2207,"2025-06-04 11:32:17"
25156751697,2025-05-31,CUSTOMER,FULL,1995-01-01,30,1995-03-03,30,680000,59,5,0,0,7920,"2025-06-04 11:32:06"
7808950973,2025-06-03,CUSTOMER,FULL,1998-08-10,26,1974-01-01,51,565000,60,5,0,0,6127,"2025-06-04 11:32:01"
7809000364,2025-05-31,CUSTOMER,FULL,2003-04-07,22,1977-01-01,48,600000,60,5,0,0,6479,"2025-06-04 11:31:42"
7808646255,2025-06-03,CUSTOMER,"PARTIAL FINANCE AMOUNT",1976-01-01,49,NULL,-1,195000,21,2,97500,0,2389,"2025-06-04 11:31:36"
25156672208,2025-05-29,CUSTOMER,FULL,2004-12-07,20,2002-01-15,23,670000,60,5,0,0,7211,"2025-06-04 11:31:06"
25156918127,2025-06-03,CUSTOMER,FULL,1994-10-10,30,1958-01-01,67,200000,24,2,0,0,1315,"2025-06-04 11:31:03"
25156757223,2025-06-04,CUSTOMER,FULL,1989-01-01,36,1992-01-01,33,580000,60,5,0,0,8877,"2025-06-04 11:30:57"
25157015264,2025-06-04,CUSTOMER,FULL,1985-06-01,40,NULL,0,670000,60,5,0,0,13393,"2025-06-04 11:30:54"
7808942286,2025-05-28,CUSTOMER,FULL,1992-05-05,33,NULL,-1,540000,28,3,0,0,4983,"2025-06-04 11:30:18"
25157013882,2025-06-03,CUSTOMER,FULL,1989-01-01,36,NULL,-1,400000,33,3,0,0,4291,"2025-06-04 11:29:50"
25157292230,2025-06-03,CUSTOMER,FULL,2003-10-06,21,1982-01-01,43,600000,60,5,0,0,6479,"2025-06-04 11:29:49"
25156773428,2025-06-03,CUSTOMER,FULL,1992-06-05,32,NULL,-1,250000,48,4,0,0,2664,"2025-06-04 11:29:46"
25156767267,2025-06-03,CUSTOMER,FULL,1989-07-06,35,NULL,-1,306000,24,2,0,0,2434,"2025-06-04 11:29:39"
25157295493,2025-06-04,CUSTOMER,FULL,1986-05-05,39,NULL,0,1000000,61,6,0,0,24568,"2025-06-04 11:29:39"
25157295383,2025-06-04,CUSTOMER,FULL,1978-01-01,47,NULL,0,300000,24,2,0,0,5934,"2025-06-04 11:29:33"
7809004479,2025-06-04,CUSTOMER,FULL,1982-07-05,42,NULL,0,410000,30,3,0,0,7456,"2025-06-04 11:29:30"
25156219444,2025-05-15,CUSTOMER,FULL,2004-01-14,21,1981-01-01,44,331500,42,4,0,0,3040,"2025-06-04 11:29:04"
25156770792,2025-06-03,CUSTOMER,FULL,1989-07-28,35,NULL,-1,550000,84,7,0,0,10527,"2025-06-04 11:29:03"
