RATE_CARD_ID,AGE,TENURE_1,TENURE_2,TENURE_3,TENURE_4,TENURE_5,TENURE_6,TENURE_7,CATEGORY_ID,COMPANY_ID,INSURANCE_COMPANY_ID,PRODUCT_ID,SUB_PRODUCT_ID,SECTOR_ID,START_DT,END_DT,POLICYNO,FINAME,LOAN_TYPE,REGION_ID,COI_ISSUE_STATUS,DOGH_SUBMITTED,ROLE_ASSOCIATED,CREATED_ON,ACTIVE
1,18,4.7,4.7,6.69,7.94,9.21,10.51,11.82,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
2,19,4.821,4.821,6.9,8.18,9.47,10.78,12.11,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
3,20,4.93,4.93,7.07,8.36,9.67,11,12.34,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
4,21,5.026,5.026,7.19,8.5,9.83,11.17,12.52,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
5,22,5.111,5.111,7.29,8.59,9.93,11.28,12.65,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
6,23,5.396,5.396,7.36,8.67,10.03,11.39,12.77,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
7,24,5.893,5.893,7.43,8.76,10.13,11.51,12.9,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
8,25,6.167,6.167,7.48,8.85,10.23,11.62,13.03,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
9,26,6.204,6.204,7.55,8.94,10.33,11.74,13.21,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
10,27,6.228,6.228,7.63,9.03,10.43,11.92,13.42,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
11,28,6.24,6.24,7.7,9.15,10.62,12.13,13.68,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
12,29,6.244,6.244,7.86,9.33,10.84,12.4,14.01,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
13,30,6.268,6.268,8.02,9.54,11.11,12.74,14.42,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
14,31,6.352,6.352,8.24,9.81,11.45,13.15,14.92,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
15,32,6.495,6.495,8.5,10.14,11.86,13.64,15.51,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
16,33,6.691,6.691,8.81,10.54,12.35,14.24,16.22,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
17,34,6.941,6.941,9.18,11.01,12.92,14.93,17.04,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
18,35,7.242,7.242,9.62,11.56,13.59,15.74,18,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
19,36,7.594,7.594,10.13,12.19,14.37,16.67,19.17,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
20,37,7.999,7.999,10.72,12.93,15.31,17.81,20.46,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
21,38,8.477,8.477,11.44,13.82,16.36,19.07,21.96,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
22,39,9.021,9.021,12.23,14.81,17.57,20.52,23.68,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
23,40,9.549,9.549,13.14,15.95,18.96,22.2,25.68,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
24,41,10.034,10.034,14.19,17.26,20.57,24.14,27.97,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
25,42,10.555,10.555,15.41,18.79,22.44,26.37,30.62,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
26,43,11.197,11.197,16.82,20.55,24.58,28.94,33.64,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
27,44,11.991,11.991,18.45,22.57,27.04,31.87,37.07,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
28,45,12.942,12.942,20.31,24.88,29.83,35.17,40.92,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
29,46,14.05,14.05,22.43,27.49,32.96,38.86,45.18,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
30,47,15.314,15.314,24.79,30.39,36.43,42.91,49.85,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
31,48,16.733,16.733,27.39,33.56,40.2,47.3,54.87,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
32,49,18.329,18.329,30.2,36.98,44.24,51.98,60.21,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
33,50,20.125,20.125,33.2,40.6,48.51,56.92,65.82,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
34,51,22.098,22.098,36.36,44.41,52.98,62.07,71.67,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
35,52,24.226,24.226,39.64,48.36,57.62,67.42,77.75,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
36,53,26.51,26.51,43.04,52.45,62.43,72.96,84.05,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
37,54,28.949,28.949,46.55,56.69,67.41,78.72,90.62,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
38,55,31.535,31.535,50.2,61.09,72.6,84.74,97.51,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
39,56,34.123,34.123,54.01,65.7,78.06,91.08,104.79,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
40,57,36.685,36.685,58.04,70.59,83.86,97.85,112.58,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
41,58,39.598,39.598,62.34,75.83,90.09,105.13,120.97,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
42,59,43.126,43.126,66.98,81.49,96.83,113.02,130.08,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
43,60,47.268,47.268,72.03,87.66,104.19,121.64,140.03,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
44,61,52.02,52.02,77.56,94.42,112.25,131.08,150.92,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
45,62,57.381,57.381,83.64,101.84,121.11,141.44,162.86,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
46,63,63.35,63.35,90.34,110.02,130.84,152.81,175.94,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
47,64,69.023,69.023,97.71,119,141.52,165.27,190.25,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
48,65,0,0,0,0,0,0,0,2,1,1,2,1,1,"2024-01-01 00:00:00","2030-12-31 00:00:00",,,,,,,,"2023-12-22 00:00:00",A
