RATE_CARD_ID,AGE,TENURE_1,TENURE_2,TENURE_3,TENURE_4,TENURE_5,TENURE_6,TENURE_7,CATEGORY_ID,COMPANY_ID,INSURANCE_COMPANY_ID,PRODUCT_ID,SUB_PRODUCT_ID,SECTOR_ID,START_DT,END_DT,POLICYNO,FINAME,LOAN_TYPE,REGION_ID,COI_ISSUE_STATUS,DOGH_SUBMITTED,ROLE_ASSOCIATED,CREATED_ON,ACTIVE
1,18,2.94,2.94,4.23,5.54,6.88,8.23,9.59,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
2,19,3.05,3.05,4.38,5.73,7.1,8.48,9.86,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
3,20,3.14,3.14,4.5,5.88,7.27,8.67,10.07,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
4,21,3.21,3.21,4.59,5.99,7.4,8.82,10.24,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
5,22,3.26,3.26,4.66,6.08,7.51,8.94,10.37,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
6,23,3.3,3.3,4.72,6.15,7.59,9.03,10.48,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
7,24,3.33,3.33,4.76,6.2,7.66,9.12,10.59,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
8,25,3.35,3.35,4.8,6.26,7.73,9.21,10.71,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
9,26,3.38,3.38,4.84,6.32,7.81,9.33,10.86,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
10,27,3.41,3.41,4.89,6.4,7.92,9.47,11.04,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
