ID,ACTIVE,AGE,CATEGORY_ID,COI_ISSUE_STATUS,COMPANY_ID,CREATED_ON,DOGH_SUBMITTED,END_DT,FINAME,INSURANCE_COMPANY_ID,LOAN_TYPE,POLICYNO,PRODUCT_ID,REGION_ID,ROLE_ASSOCIATED,SECTOR_ID,START_DT,SUB_PRODUCT_ID,TENURE_1,TENURE_10,TENURE_2,TENURE_3,TENURE_4,TENURE_5,TENURE_6,TENURE_7,TENURE_8,TENURE_9,RATE_CARD_ID
1,A,18,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,4.7,0,4.7,6.69,7.94,9.21,10.51,11.82,0,0,0
2,A,19,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,4.821,0,4.821,6.9,8.18,9.47,10.78,12.11,0,0,0
3,A,20,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,4.93,0,4.93,7.07,8.36,9.67,11,12.34,0,0,0
4,A,21,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,5.026,0,5.026,7.19,8.5,9.83,11.17,12.52,0,0,0
5,A,22,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,5.111,0,5.111,7.29,8.59,9.93,11.28,12.65,0,0,0
6,A,23,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,5.396,0,5.396,7.36,8.67,10.03,11.39,12.77,0,0,0
7,A,24,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,5.893,0,5.893,7.43,8.76,10.13,11.51,12.9,0,0,0
8,A,25,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,6.167,0,6.167,7.48,8.85,10.23,11.62,13.03,0,0,0
9,A,26,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,6.204,0,6.204,7.55,8.94,10.33,11.74,13.21,0,0,0
10,A,27,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,6.228,0,6.228,7.63,9.03,10.43,11.92,13.42,0,0,0
11,A,28,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,6.24,0,6.24,7.7,9.15,10.62,12.13,13.68,0,0,0
12,A,29,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,6.244,0,6.244,7.86,9.33,10.84,12.4,14.01,0,0,0
13,A,30,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,6.268,0,6.268,8.02,9.54,11.11,12.74,14.42,0,0,0
14,A,31,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,6.352,0,6.352,8.24,9.81,11.45,13.15,14.92,0,0,0
15,A,32,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,6.495,0,6.495,8.5,10.14,11.86,13.64,15.51,0,0,0
16,A,33,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,6.691,0,6.691,8.81,10.54,12.35,14.24,16.22,0,0,0
17,A,34,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,6.941,0,6.941,9.18,11.01,12.92,14.93,17.04,0,0,0
18,A,35,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,7.242,0,7.242,9.62,11.56,13.59,15.74,18,0,0,0
19,A,36,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,7.594,0,7.594,10.13,12.19,14.37,16.67,19.17,0,0,0
20,A,37,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,7.999,0,7.999,10.72,12.93,15.31,17.81,20.46,0,0,0
21,A,38,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,8.477,0,8.477,11.44,13.82,16.36,19.07,21.96,0,0,0
22,A,39,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,9.021,0,9.021,12.23,14.81,17.57,20.52,23.68,0,0,0
23,A,40,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,9.549,0,9.549,13.14,15.95,18.96,22.2,25.68,0,0,0
24,A,41,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,10.034,0,10.034,14.19,17.26,20.57,24.14,27.97,0,0,0
25,A,42,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,10.555,0,10.555,15.41,18.79,22.44,26.37,30.62,0,0,0
26,A,43,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,11.197,0,11.197,16.82,20.55,24.58,28.94,33.64,0,0,0
27,A,44,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,11.991,0,11.991,18.45,22.57,27.04,31.87,37.07,0,0,0
28,A,45,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,12.942,0,12.942,20.31,24.88,29.83,35.17,40.92,0,0,0
29,A,46,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,14.05,0,14.05,22.43,27.49,32.96,38.86,45.18,0,0,0
30,A,47,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,15.314,0,15.314,24.79,30.39,36.43,42.91,49.85,0,0,0
31,A,48,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,16.733,0,16.733,27.39,33.56,40.2,47.3,54.87,0,0,0
32,A,49,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,18.329,0,18.329,30.2,36.98,44.24,51.98,60.21,0,0,0
33,A,50,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,20.125,0,20.125,33.2,40.6,48.51,56.92,65.82,0,0,0
34,A,51,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,22.098,0,22.098,36.36,44.41,52.98,62.07,71.67,0,0,0
35,A,52,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,24.226,0,24.226,39.64,48.36,57.62,67.42,77.75,0,0,0
