ID,AGE,TENURE_1,TENURE_2,TENURE_3,TENURE_4,TENURE_5,TENURE_6,TENURE_7,TENURE_8,TENURE_9,TENURE_10,CATEGORY_ID,COMPANY_ID,INSURANCE_COMPANY_ID,PRODUCT_ID,SUB_PRODUCT_ID,SECTOR_ID,START_DT,END_DT,POLICYNO,FINAME,LOAN_TYPE,REGION_ID,COI_ISSUE_STATUS,DOGH_SUBMITTED,ROLE_ASSOCIATED,CREATED_ON,ACTIVE
1,18,3.26,5.63,7.17,8.72,10.29,11.84,13.4,14.94,16.47,20.12,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
2,19,3.35,5.77,7.33,8.89,10.46,12.02,13.57,15.11,16.64,20.32,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
3,20,3.41,5.85,7.42,8.98,10.55,12.11,13.66,15.2,16.73,20.42,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
4,21,3.44,5.89,7.46,9.02,10.58,12.14,13.69,15.23,16.77,20.47,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
5,22,3.45,5.9,7.46,9.02,10.58,12.14,13.69,15.24,16.79,20.52,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
6,23,3.45,5.9,7.46,9.02,10.58,12.14,13.69,15.25,16.82,20.58,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
7,24,3.45,5.9,7.46,9.02,10.58,12.14,13.71,15.29,16.89,20.7,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
8,25,3.45,5.9,7.46,9.02,10.58,12.16,13.77,15.39,17.02,20.9,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
9,26,3.45,5.9,7.46,9.03,10.63,12.25,13.88,15.55,17.24,21.21,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
10,27,3.45,5.9,7.49,9.1,10.73,12.39,14.07,15.79,17.54,21.62,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
11,28,3.47,5.96,7.58,9.22,10.89,12.6,14.34,16.13,17.95,22.18,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
12,29,3.51,6.05,7.71,9.39,11.12,12.89,14.71,16.57,18.48,22.88,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
13,30,3.57,6.18,7.89,9.63,11.43,13.27,15.17,17.12,19.14,23.74,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
14,31,3.66,6.35,8.12,9.94,11.81,13.74,15.74,17.8,19.93,24.77,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
15,32,3.77,6.57,8.41,10.31,12.28,14.31,16.42,18.61,20.87,25.98,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
16,33,3.91,6.83,8.76,10.76,12.83,14.98,17.22,19.54,21.96,27.38,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
17,34,4.08,7.14,9.17,11.28,13.48,15.77,18.15,20.63,23.21,28.99,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
18,35,4.27,7.5,9.65,11.89,14.22,16.66,19.21,21.87,24.64,30.82,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
19,36,4.49,7.92,10.2,12.59,15.08,17.69,20.42,23.28,26.27,32.69,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
20,37,4.75,8.4,10.83,13.38,16.05,18.85,21.79,24.87,28.12,34.67,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
21,38,5.04,8.94,11.54,14.27,17.14,20.16,23.33,26.68,30.21,36.93,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
22,39,5.37,9.55,12.34,15.28,18.37,21.64,25.09,28.73,32.44,39.5,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
23,40,5.74,10.23,13.24,16.41,19.77,23.32,27.08,31.06,34.75,42.43,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
24,41,6.16,11.01,14.26,17.7,21.35,25.23,29.35,33.42,37.4,45.8,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
25,42,6.63,11.89,15.42,19.17,23.17,27.42,31.91,36.04,40.45,49.66,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
26,43,7.18,12.89,16.75,20.87,25.26,29.96,34.48,39.06,43.96,54.08,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
27,44,7.8,14.05,18.29,22.83,27.68,32.69,37.45,42.54,47.98,59.13,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
28,45,8.52,15.41,20.08,25.1,30.49,35.58,40.87,46.53,52.57,64.86,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
29,46,9.36,16.98,22.17,27.75,33.42,38.91,44.8,51.08,57.77,71.29,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
30,47,10.34,18.81,24.58,30.8,36.61,42.72,49.25,56.2,63.57,78.44,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
31,48,11.47,20.92,27.36,33.88,40.22,47.01,54.24,61.9,69.99,86.28,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
32,49,12.77,23.32,30.5,37.23,44.27,51.77,59.74,68.14,76.96,94.74,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
33,50,14.25,26.02,33.65,40.95,48.73,56.99,65.71,74.87,84.44,103.78,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
