RATE_CARD_ID,AGE,TENURE_1,TENURE_2,TENURE_3,TENURE_4,TENURE_5,TENURE_6,TENURE_7,CATEGORY_ID,COMPANY_ID,INSURANCE_COMPANY_ID,PRODUCT_ID,SUB_PRODUCT_ID,SECTOR_ID,START_DT,END_DT,CREATED_ON,ACTIVE
1,18,2.9438,4.8092,6.8832,9.0049,11.1665,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
2,19,2.9438,4.8092,6.8832,9.0049,11.1665,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
3,20,2.9438,4.8092,6.8832,9.0049,11.1665,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
4,21,2.9438,4.8092,6.8832,9.0049,11.1665,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
5,22,2.9438,4.8092,6.8832,9.0049,11.1665,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
6,23,2.9438,4.8092,6.8832,9.0049,11.1665,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
7,24,2.9438,4.8092,6.8832,9.0049,11.1665,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
8,25,2.9438,4.8092,6.8832,9.0049,11.1665,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
9,26,2.9438,4.8092,6.8832,9.0049,11.1665,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
10,27,2.9438,4.8092,6.8832,9.0049,11.1665,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
11,28,2.9438,4.8092,6.8832,9.0049,11.1665,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
12,29,2.9438,4.8092,6.8832,9.0049,11.1665,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
13,30,2.9438,4.8092,6.8832,9.0049,11.1665,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
14,31,3.3192,5.4267,7.8584,10.3808,13.0097,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
15,32,3.3192,5.4267,7.8584,10.3808,13.0097,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
16,33,3.3192,5.4267,7.8584,10.3808,13.0097,0,0,1,1,2,1,2,2,"2024-07-11 00:00:00","2024-07-11 00:00:00","2024-07-11 00:00:00",A
