RATE_CARD_ID,AGE, TENURE_1 , TENURE_2 , TENURE_3 , TENURE_4 , TENURE_5 ,TENURE_6,TENURE_7,CATEGORY_ID,COMPANY_ID,INSURANCE_COMPANY_ID,PRODUCT_ID,SUB_PRODUCT_ID,SECTOR_ID,START_DT,END_DT,CREATED_ON,ACTIVE
1,18,4.48,7.07,10.13,13.26,16.48,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
2,19,4.48,7.07,10.13,13.26,16.48,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
3,20,4.48,7.07,10.13,13.26,16.48,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
4,21,4.48,7.07,10.13,13.26,16.48,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
5,22,4.48,7.07,10.13,13.26,16.48,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
6,23,4.48,7.07,10.13,13.26,16.48,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
7,24,4.48,7.07,10.13,13.26,16.48,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
8,25,4.48,7.07,10.13,13.26,16.48,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
9,26,4.48,7.07,10.13,13.26,16.48,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
10,27,4.48,7.07,10.13,13.26,16.48,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
11,28,4.48,7.07,10.13,13.26,16.48,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
12,29,4.48,7.07,10.13,13.26,16.48,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
13,30,4.48,7.07,10.13,13.26,16.48,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
14,31,5.05,7.98,11.56,15.29,19.18,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
15,32,5.05,7.98,11.56,15.29,19.18,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
16,33,5.05,7.98,11.56,15.29,19.18,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
17,34,5.05,7.98,11.56,15.29,19.18,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
18,35,5.05,7.98,11.56,15.29,19.18,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
19,36,6.44,9.81,14.42,19.3,24.45,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
20,37,6.44,9.81,14.42,19.3,24.45,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
21,38,6.44,9.81,14.42,19.3,24.45,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
22,39,6.44,9.81,14.42,19.3,24.45,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
23,40,6.44,9.81,14.42,19.3,24.45,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
24,41,9.07,13.95,20.86,28.28,36.23,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
25,42,9.07,13.95,20.86,28.28,36.23,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
26,43,9.07,13.95,20.86,28.28,36.23,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
27,44,9.07,13.95,20.86,28.28,36.23,0,0,1,1,2,1,2,2,01-07-2025 00:00,31-12-2030 00:00,01-07-2025 00:00,A
